Person,Tweet,NEREntityCount,LengthOfTweet,Relevance,Sentiment
Katy Perry,Katy Perry I KISSED A GIRL size M  tag Anvil  made in usa P 69 L 52 #katyperry #kaoskatyperry ,2,95,2,0
Katy Perry,One Of The Boys,0,16,2,0
Katy Perry,"Pics - Kim Kardashian, Katy Perry &amp; others Reimagined As Plus Size  ",4,72,2,1
Katy Perry,RT @explicandohitss: this is how we dokaty perry mostrando como ela fais,0,74,2,0
Katy Perry,Things Heat Up Between Katy Perry And Orlando Bloom,4,53,2,0
Katy Perry,I have a katy perry song in my head and I did not even listen to it,0,67,1,1
Katy Perry,RT @hqualitykp: Katy Perry and Nicki Minaj - Girls Just Wanna Have Fun,4,71,2,0
Katy Perry,"Katy Perry is smart, she was like ""Everyone getting some exclusive, TIDAL, Spotify and Apple."" ",2,95,1,0
Katy Perry,@PopCrave @marieclaire Katy Perry and Nicki Minaj say hello,4,59,2,0
Katy Perry,Katy Perry Has Epic Boobs and Never Misses A Chance To Show It Off,5,68,1,0
Katy Perry,"Get COVERGIRL Katy Perry's InstaGLAM look with Ready, Set Gorgeous Foundation in Buff Beige, Ready,  ",2,101,2,0
Katy Perry,"RT @ShadyKatyFacts: Today, in 2014, Katy Perry released the lyric video of ""Birthday"". It became the most watched lyric video on YouTube ht",2,139,1,0
Katy Perry,"RT @eonline: The Aspen slopes are officially hot, and they're cold. Inside Katy Perry and Orlando Bloom's snowy getaway: ",4,121,2,0
Katy Perry,is it bad that I'm anticipating katy perry's next era?,0,54,1,1
Katy Perry,FIREWORKS KATY PERRY J HEY,4,26,2,0
Katy Perry,No cause I am too,0,19,2,0
Katy Perry,Yes because she's most likely working with a rapist.,0,53,1,1
Katy Perry,"@monkopotamouse @KyleKulinski na she's an intelligent person, smarter than katy perry or any other female artist who endorsed hillary",1,133,1,1
Katy Perry,RT @MusicAwardsFact: Females that spent the most weeks atop of BH100 this decade:1 Rihanna 2 Katy Perry 3 Taylor Swift 4 Adele ht,0,131,1,0
Katy Perry,What is there to anticipate? Her music sucks she can't sing her performances are trash,0,88,1,1
Katy Perry,"RT @sitekpbra: EP: Katy Perry Live at 2015 Happers Bazaar Icons, baixe agora!:  ",2,80,2,0
Katy Perry,That Bebe/Nicki song is...very katy perry 2010 sounding.,0,56,2,0
Katy Perry,Anyone that says Katy Perry doesn't make bangers is a liar. Her albums are so well produced and constructed.,2,110,1,0
Katy Perry,#KatyPerry #Fashion Katy Perry Eau De #Parfum Collection 4-Piece #Perfume Gift Box Set,2,88,2,0
Katy Perry,I fake hated Katy Perry for so many years..,2,43,1,0
Katy Perry,Katy Perry - The Prismatic World Tour Concert at PNC Arena in Raleigh  #KatyPerry,2,81,2,0
Katy Perry,RT @ChiefKeef: Dat bitch Katy Perry Can Suck Skin Off Of my Dick,4,64,1,1
Katy Perry,@beautifulcelebz @ElgoJohnny @katyperry @taylorswift13 Katy Perry all the way.,2,78,1,0
Katy Perry,I told yall! katy perry has ENDLESS bangers,0,43,1,1
Katy Perry,@BenFennell_NFL @ArifHasanNFL who's the one that asked out Katy Perry?,2,70,2,0
Katy Perry,The tea is hot.,0,16,2,1
Katy Perry,RT @ahab99: @no_detective Did you know the melons were an inspiration for Katy Perry's sharks?,2,94,2,0
Katy Perry,I love these facts.,0,21,1,0
Katy Perry,O-M-G #favs Katy Perry Is Getting Thick In The Right Places,2,62,1,0
Katy Perry,RT @explicandohitss: this is how we do katy perry mostrando como ela fais,0,74,2,0
Katy Perry,"RT @JatyThrowback: October 5, 2013: Katy Perry and John Mayer have a date at Disneyland ",4,88,2,0
Katy Perry,RT @HOTLINEKREAM: Carly Rae Jepsen &gt; Katy Perry.,5,52,2,0
Katy Perry,"RT @JatyThrowback: January 25, 2014: Katy Perry and John Mayer during the CAA Grammy Awards Party ",5,98,2,0
Katy Perry,Really ?,0,9,2,1
Katy Perry,"RT @P0PTHATC0RN: Over 600,000,000 people have streamed Dr Luke produced Katy Perry singles/music on YouTube, VEVO in 2016 alone. Guess y'al",3,139,2,0
Katy Perry,KATY PERRY - THIS IS HOW WE DO  #nowplaying #listenlive,2,55,2,0
Katy Perry,RT @_RTorFAVE: REQUESTED RT for Lady Gaga LIKE for Katy Perry ,2,62,2,0
Katy Perry,#Entertainment #Buzz ..::Katy Perry 3-Piece Gift Set::.. #KatyPerry #Auction,0,78,2,0
Katy Perry,Go figure.  He has a chance to beat Alabama again.,0,51,1,0
Katy Perry,"Katy Perry ""Firework"" #music #song",2,34,2,0
Katy Perry,I saved a @YouTube playlist  Mix - Katy Perry - Roar (Official),2,63,1,0
Katy Perry,I liked a @YouTube video  Katy Perry - Roar (Official),2,54,1,0
Katy Perry,I didn't hear my dad come home and I was drunkenly scream-singing 'I Kissed A Girl' by Katy Perry. He has questions.,2,117,1,0
Katy Perry,RT @6e0f19c97a36491: Retweet For Katy Perry! Like For Kate Upton! ,4,66,2,0
Katy Perry,LMAO AT THAT GUY THINKING KATY PERRY HAD MORE GRAMMYS THAN BRITNEY. THE SHADE TO BOTH OF THEM.,3,94,1,1
Katy Perry,Learn Internet Marketing From Katy Perry,2,41,1,0
Katy Perry,E.T. is my favorite Katy Perry song. It still goes in my opinion.,2,65,1,0
Katy Perry,"You said move on, where do I go? Katy Perry",2,45,2,0
Katy Perry,LOVING THIS TEA. Emotion was the best pop album of 2015. Lipton.,1,67,1,0
Katy Perry,Anybody is better than Cant'y Perry,2,36,1,1
Katy Perry,Waking Up In Vegas (Calvin Harris Remix Edit) by Katy Perry -,2,62,2,0
Katy Perry,@SierraNMcCormic #asksierra Katy Perry or Taylor Swift?,4,55,2,0
Katy Perry,You guys are my Selena Gomez in this world full of Katy Perry. Sending you love!!!,4,82,1,0
Katy Perry,#KATYPERRY Katy Perry Fans:,2,27,2,0
Katy Perry,RT @unbelievables91: Katy Perry Lost Her Mind And Clothes... Keep Them Off Girl,2,83,1,1
Katy Perry,ghost // Katy Perry,2,20,2,1
Katy Perry,It does!,0,10,2,0
Katy Perry,"Wow Katy Perry, Hot Really!  ",2,29,1,0
Katy Perry,Part of Me- Katy Perry,2,22,1,0
Katy Perry,"Katy Perry upped the shock value during her performance at the 2012 MuchMusic Video Awards, strippin ",2,101,1,0
Katy Perry,Love Me // Katy Perry,2,22,1,0
Katy Perry,ON AIR : Katy Perry - This is how we do - (,2,43,2,0
Katy Perry,On my life Katy perry drops bops. She aight but bitch got bops!,1,63,1,0
Katy Perry,Yes yes yes yes,0,17,1,0
Katy Perry,RT @katyperry:  MY PRAYERS HAVE BEEN ANSWERED I shall remember though that I am but one sequin on this living legend's costume!,0,128,1,0
Katy Perry,Legendary Lovers - Katy Perry,2,30,1,0
Katy Perry,Katy Perry's Rack Is Amazing!,2,30,1,0
Katy Perry,Katy Perry rules. This is my official opinion.,2,46,1,0
Katy Perry,They're such a good looking couple,0,35,1,0
Katy Perry,RT @ChiefKeef: Dat bitch Katy Perry Can Suck Skin Off Of my Dick,4,64,1,1
Katy Perry,ugh why is Katy so cute,1,25,1,0
Katy Perry,i honestly completely forgot katy perry exists and i wish i hadnt just remembered tbh,0,85,1,1
Katy Perry,"get u someone who can sing to anything, from Katy Perry to Kevin Gates to George Strait ",6,88,2,0
Katy Perry,Katy Perry is looking hotter than a lightsaber,2,47,1,0
Katy Perry,nah who dat,0,13,1,1
Katy Perry,Katy Perry - The One That Got Away,2,34,2,0
Katy Perry,#Adele Got High-Art Performance Inspiration From Katy Perry...,2,63,1,0
Katy Perry,I'm so done with you,0,21,1,1
Katy Perry,He considers Lana Del Rey a friend and adores Katy Perry: How much do you know about Barry Manilow?  via @sheknows,7,114,1,0
Katy Perry,Katy Perry has the most followers on all of Twitter.,2,52,1,0
Katy Perry,Katy Perry's Body tho,2,23,1,0
Katy Perry,RT @ShadyKatyFacts: Record sales this decade: Katy Perry: ~99M Beyonc: 27M #Lemonade  ,2,86,1,0
Katy Perry,"This may sound like a fucking Katy Perry song, but it's actually your next President. President Trump. Donald 'POTUS' Trump. Goodnight.",5,135,1,1
Katy Perry,Katy Perry forever,2,20,1,0
Katy Perry,RT @Sashabeauty9: SHOCKING #famous Katy Perry s Rack Is Spectacular Every Time,2,81,1,0
Katy Perry,"RT @MyKatyPerryNews: ""The Prismatic World Tour"" has grossed impressive $201.7M with 151 dates. It's Katy Perry's biggest tour to date. htt",2,139,1,0
Katy Perry,"RT @_nessavanessa: @despicable_liz I can't believe I didn't recognize Katy Perry, I hate myself",2,95,1,1
Justin Bieber,RT @JBfansyouneed: Sometimes it's overwhelming but I love my fans and it's always great to see them. - Justin Bieber #quote #Belieber #Just,2,139,2,0
Justin Bieber,"RT @AnselElgort: Going to the Justin Bieber concert tonight in Atlanta, issss it too late now to say saaaaahhh reeeeee",2,118,1,0
Justin Bieber,"RT @PortableShua: If I were president, I would make Justin Bieber the Secretary of Handsome. #joshpeck2020",3,106,1,0
Justin Bieber,"RT @JBCrewdotcom: The openers have finished &amp; Justin Bieber is up next! Get hype, Atlanta! #PurposeTour",2,107,1,0
Justin Bieber,"RT @BieberBoners_: ""Justin Bieber can't sing"" explain this then  ",2,67,1,1
Justin Bieber,RT @stupidworlx:  FUCK/KISS OR KILL justin bieber Rt : fuck or  kiss,0,84,2,1
Justin Bieber,"RT @Katiewelch__: Porn Site Puts Justin Bieber On Blast, Reveals What He's Into.",2,81,1,1
Justin Bieber,Justin bieber concert,1,22,2,0
Justin Bieber,"RT @Justinmicroblog: April 12: Justin spotted out in Atlanta, Georgia. #JustinBieber  ",1,86,2,0
Justin Bieber,"RT @musicnews_shade: Justin Bieber has received an overwhelming TWELVE nominations, from only eleven categories. Well deserved  #BBMAs ht",2,137,1,0
Justin Bieber,Crying because I'm going to see Justin Bieber again in June!!!!,2,63,1,0
Justin Bieber,RT @bieberrvelli: He gonna lit up like a christmas tree hazel grace,0,68,1,0
Justin Bieber,"Justin Bieber Cancels Surprise , Extravagant... ",2,48,2,0
Justin Bieber,also if anybody wants to hook a girl up with some justin bieber tickets I wouldn't say no,0,89,1,0
Justin Bieber,RT @DevinHayes_: The biggest test of my life (ACT) and the Justin Bieber concert fall on the same day. My answer bubbles will definitely fo,2,139,2,0
Justin Bieber,yes yes YEESSSS,0,16,1,0
Justin Bieber,my #1 goal in life is to meet Justin Bieber,2,43,1,0
Justin Bieber,RT @AustinHoldash: Oh God here come the endless story's of the Justin Bieber concert,2,85,1,1
Justin Bieber,"give Justin the BMI Award. He makes good music now and can actually perform somehow live, DO IT. HE IS KINDA WORTH. ",1,116,1,0
Justin Bieber,believe,0,8,1,0
Justin Bieber,First time Justin Bieber is coming and I'm not seeing him  yeah I'm still obsessed w him lolllllll,2,98,1,0
Justin Bieber,"RT @klocke1: ""You should go and love yourself "" -Justin Bieber",0,62,2,0
Justin Bieber,RT @ThePhillLewis: My daughter went to the Justin Bieber concert and all I got was....,2,87,2,0
Justin Bieber,Justin Bieber Kills It In Epic Drum-Off With The Roots...,2,59,1,0
Justin Bieber,"RT @biebersgrande: a man just told me I'm going to hell ""because I worship Justin Bieber"" thank you kind sir",2,108,1,0
Justin Bieber,"Justin Bieber Concert!!!! (just kidding this was at a Mutemath concert, a band that's far better than Justin Bieber) ",4,117,1,1
Justin Bieber,RT @JBCrewdotcom: This Belieber's song for @justinbieber is adorable! You should go and listen.,0,96,1,0
Justin Bieber,RT @JBCrewdotcom: Want a cool Justin Bieber tee? Enter here:,2,62,2,0
Justin Bieber,RT @JBCrewdotcom: Another photo of Justin Bieber today in Antigua. (April 17),2,78,2,0
Justin Bieber,RT @WhatTheFFacts: Justin Bieber has more followers on Twitter than Spain has people.,2,85,1,0
Justin Bieber,RT @awmyjusss: 88. Justin Bieber- Children #100pytan,1,52,2,0
Justin Bieber,RT @HistoricalPics: This photo of Justin Bieber getting choked at a Houston night club looks like a lost Renaissance painting,2,126,1,1
Justin Bieber,RT @awmyjusss: 56. Justin Bieber- One Time #100pytan,1,52,2,0
Justin Bieber,RT @AwesomeSauce_86: IF U A REAL @justinbieber  JUSTIN BIEBER FAN.. YOU KNOW THIS ALBUM.. I BEEN DOWN SINCE DAY 1. #1TIME,2,122,1,0
Justin Bieber,RT @VS_Artist: Best Smile? RT for Harry Styles LIKE for Justin Bieber ,2,71,2,0
Justin Bieber,RT @bestcoverss: heartless - justin bieber,0,43,2,0
Justin Bieber,I actually thought its a painting,0,34,2,1
Justin Bieber,"RT @ibieberauhlls: justin bieber has crowd goals, this is incredible and so beautiful! ",2,87,1,0
Justin Bieber,RT @AverageGoals_CL: Justin Bieber who??? Cathy Barriga's son is literally God,4,79,1,1
Justin Bieber,@whyismysonemo In the last one you look like Justin Bieber,2,59,2,0
Justin Bieber,RT @dailycamera: On stage with Justin Bieber: once-in-a-lifetime moment for #Boulder boy  via @aimeemay,2,104,1,0
Justin Bieber,I don't like his music and appropriates black culture so YE no,0,64,1,1
Justin Bieber,A cheater a cracker and  an untalented RAT,0,44,1,1
Justin Bieber,JUSTIN BIEBER!!!! is my favorite person in he world TRUST me!!!! @989RadioNow #Tweet4Bieber989,2,94,1,0
Justin Bieber,RT @juliamarie1989: I AM THE BIGGEST JUSTIN BIEBER FAN I PROMISE. SNEAK PEAK OF MY ROOM @1037KISSFM #kissbieber,2,113,1,0
Justin Bieber,isn't a bad person despite some of the things he does. releases bops,0,70,1,0
Justin Bieber,RT @avonsemotion: 3 years ago my family told me I would be over Justin Bieber it's been 3 years.. and I'm still here :),2,119,1,0
Justin Bieber,RT @PopCrave: 43. Justin Bieber - Life Is Worth Living. He's a one in a million,3,81,1,0
Justin Bieber,RT @jennmcallister: I hope everyone sees me listening to old Justin Bieber on Spotify,3,85,2,0
Justin Bieber,fukin twat,0,11,1,1
Justin Bieber,"RT @AwsumBiebs: ""So when are you gonna meet Justin Bieber?"" ",2,60,2,0
Justin Bieber,RT @ClarkeKaila: favvv songgg,1,30,2,0
Justin Bieber,I don't get why girls fawn over Justin Bieber &amp; Channing Tatum and not Rick Springfield in the 80's. I mean come on.,6,121,1,1
Justin Bieber,don't tell me it's a phase that I like Justin Bieber bc in pretty sure phases don't last over 7 years,2,101,1,0
Justin Bieber,"RT @JBCrewdotcom: Check out Justin Bieber's ""Believe"" and ""Believe Acoustic"" album positions on the iTunes chart! ",2,114,2,0
Justin Bieber,RT @PopCrave: 6. Justin Bieber performing his single 'All That Matters' in his Believe Tour!,2,93,2,0
Justin Bieber,them pathetic fans are coming,0,30,1,1
Justin Bieber,RT @blacknymph: Sarah marks getting that promo,1,48,2,0
Justin Bieber,RT @CatMignano: I love Justin Bieber but I'm just confused as to why he dresses like he's homeless,2,98,1,1
Justin Bieber,popstars_mylife: #justinbieber #justinbieberlove #justin #bieberfever #bieber #belieber #jelena,0,96,1,0
Justin Bieber,Dance of a lifetime: On stage with Justin Bieber  #BITN,2,55,1,0
Justin Bieber,Justin bieber,2,14,2,0
Justin Bieber,"""@MentionTo: #MentionTo your friends who hate Justin Bieber so much."" @drizzy_iv",2,84,1,1
JK Rowling,Give us a break,0,16,1,1
JK Rowling,JK Rowling's Robert Galbraith on longlist for crime-writing prize,2,66,1,0
JK Rowling,"RT @winteradcliffe: JK Rowling, Stephen King and JRR Tolkien are my all-time favorite authors",2,93,1,0
JK Rowling,RT @MirandaLepore: I'm still not over the fact that JK Rowling created an entire sport that's so cool wtf,1,105,1,0
JK Rowling,RT @guardian: Sir Elton John and JK Rowling listed at most charitable UK celebrities,3,85,1,0
JK Rowling,how did the harry potter get down the the hill? by walking...jk rowling,0,71,2,0
JK Rowling,jk rowling,0,11,2,0
JK Rowling,JK Rowling has less followers than 5SOS,2,39,1,0
JK Rowling,JK Rowling to receive PEN award for literary service  #startups #trending #Fashion #trump,2,89,1,0
JK Rowling,@anakinispanakin bc jk rowling was a rat,0,40,1,1
JK Rowling,Dobby,1,7,2,0
JK Rowling,OMG FANTASTIC BEASTS IS COMING TO THEATERS. WRITTEN BY JK ROWLING. ABOUT THE MAGICAL CREATURES IN THE HARRY POTTER UNIVERSE.,4,124,1,0
JK Rowling,lede in BELFAST Tele is JK Rowling never mind 2 Belfast boys @adrianmckinty &amp; @stuartneville r also up for the award,0,121,2,0
JK Rowling,JK Rowling can have allllllll of my money for this new movie. It's not Harry Potter but I'm still excited.,2,106,1,0
JK Rowling,Omg thank you JK Rowling,2,25,1,0
JK Rowling,JK Rowling among the top celeb charity donors,2,47,1,0
JK Rowling,@ColliderVideo Could JK Rowling wizarding world work on TV. VIsuals don't seem so advance it's just lights &amp; flying paper :) #ColliderTVTalk,4,144,2,1
JK Rowling,Forget Harry Potter - JK Rowling is the real wizard. Writers wield an incredible magic. #amwriting,5,99,1,0
JK Rowling,RT @PinkNews: .@jk_rowling and @eltonofficial named most generous celebrities,0,78,1,0
JK Rowling,John Bellairs &gt; JK Rowling by about 1000 orders of magnitude,4,63,1,1
JK Rowling,"@ethanhein @instapaper Bukowski's ""air and light and time and space"" comes to mind, also previous welfare mom JK effing Rowling!",2,128,2,0
JK Rowling,RT @CerrissaKim: JK Rowling posts letters of rejection on Twitter to help budding authors,0,90,2,0
JK Rowling,Chamillionaire &amp; J.K. Rowling Just Became Friends Over Some Clever Wordplay  #Chamillionaire,1,97,2,0
JK Rowling,jk rowling is making another movie... that doesn't have harry potter,0,68,2,1
JK Rowling,"@MPeauteau yeah, swearing at authors...you do have to wonderThere was a guy arguing on Twitter with JK Rowling about Snape. Dude, wat?!",1,135,2,1
JK Rowling,@misfitmarceline I have a similar relationship with JK Rowling,2,63,2,0
JK Rowling," The day #CaptainSwan dies, JK Rowling is still here. HIS NAME IS HOOK! #NotYourTigerLily #PeterPanLive @nbc GIVE UP!",0,117,2,1
JK Rowling,"Scottish philanthropists gave more than 200m to charity last year, says annual rich list ... ",0,93,2,0
JK Rowling,RT @PotterWorldUK: JK Rowling's own drawing of Harry Potter standing in front of the Dursleys' fireplace.,4,106,2,0
JK Rowling,Bruhhhh that new JK Rowling movie looks sooo dope!,0,50,1,0
JK Rowling,I love JK Rowling and will always be grateful for her but her use of Cho Chang in the series will always be something I'll be upset about.,2,138,1,1
JK Rowling,Bringing this back.,0,21,1,0
JK Rowling,@HoosIrish He's like JK Rowling,2,31,1,0
JK Rowling,"EDDIE REDMAYNE, ALICIA VIKANDER, AND JK ROWLING I THINK YES ",4,60,1,0
JK Rowling,RT @Arzaylea: new jk rowling movie gunna have me in tears,0,57,1,0
JK Rowling,This made me think of you lmfao &amp; made me laugh  @joe_desiderio,0,69,1,1
JK Rowling,Anything's possible if you've got enough nerve. - JK Rowling .. Of to bed after a busy weekend.,0,96,2,0
JK Rowling,I was so right about JK Rowling hahaha swish hahaha,2,51,1,1
JK Rowling,JK Rowling is forever a genius.,2,31,1,0
JK Rowling,@LariskaPargitay IVE NEVER NOTICED THAT. JK ROWLING IS A FREAKING GENIUS,1,72,1,0
JK Rowling,*thinks this may be a good idea BUT THEN REMEMBERS JK ROWLING DID WHAT SHE DID FOR A REASON AND KICKED ASS AT IT*,1,114,1,0
JK Rowling,@bricepuls @kalehummus Slytherin. Did you take a Pottermore test yet?,0,70,2,0
JK Rowling,Check out what JK Rowling had to say about #NevillesProphecy in her interview with,2,83,2,0
JK Rowling,"RT @PotterWorldUK: JK Rowling, Dan, Rupert and Emma at the first &amp; last premiere. Time is making fools of us again. ",5,122,2,0
JK Rowling,tell JK I'm still rowling,0,25,1,0
JK Rowling,"JK Rowling's Harry Potter Chair Sells for Nearly $400,000 at Auction  ",2,70,2,0
JK Rowling,Harry Potter Poster Harry And Lord Voldemort J. K. Rowling JK Deathly Hallows,8,79,2,0
JK Rowling,Sir Elton John and JK Rowling top charity list after singer gave 27million to good causes,4,91,1,0
JK Rowling,It's not called Harry Potter but it's a jk rowling booking like a new era shit I'm so excited,2,93,1,0
JK Rowling,@TheMoon_Pie This answer made sense to me,0,42,2,0
JK Rowling,"RT @DerekWhitey_09: What a Royal Mess to be, Tear the Kueen's Dress to JK Rowling ",5,82,2,1
JK Rowling,RT @TheHPFacts: Mum of young cancer patient writes a heartwarming thank you letter to JK Rowling.,2,99,1,0
JK Rowling,JK Rowling had planned Snape's back story ever since she wrote the first book because the whole series is built around it.,3,122,2,0
JK Rowling,"I hope you don't mind JK Rowling (-:  - top stories by @deGrootS1, @delightful_dori, @jamiewritenow",0,99,2,0
JK Rowling,Happy birthday Chipster!Have the BEST day possible(Even if you quit lax)! Hope its filled with JK Rowling and caffeine! @maddieschultzyy,2,136,1,0
JK Rowling,jk rowling never let her fans down a dream came true for us fans #always #potterhead #cursedchild,0,98,1,0
JK Rowling,RT @mosama1991: Shahid Masood: Better fantasy maker than JK Rowling &amp; more saddest than George R Martin,5,108,1,1
JK Rowling,JK Rowling publishing new Harry Potter stories  #JKRowling,4,58,2,0
JK Rowling,RT @ohmichellep: I love JK Rowling and will always be grateful for her but her use of Cho Chang in the series will always be something I'll,2,139,1,1
JK Rowling,Huge congrats to @eva_dolan #TellNoTales &amp; @djy_writer #StastiChild making Theakston's longlist!  via @thebookseller,1,120,2,0
JK Rowling,RT @HPPlayLDN: .@jk_rowling gives fans a sneak peek inside the #HarryPotterPlay #CursedChild #RehearsalRoom,0,108,2,0
JK Rowling,Fantastic look at Cursed Child!! Have my tickets in hand for Aug 18/19 - and I can't wait!! @jk_rowling #CursedChild,0,117,2,0
JK Rowling,"RT @harry__pttr: ""No story lives unless someone wants to listen. The stories we love best do live in us forever.""  JK Rowling",2,125,2,0
JK Rowling,@jk_rowling what's your favourite marauder?,0,43,2,0
JK Rowling,@ukip @nigel_farage So: the fact that @jk_rowling changed jumper to sweater in US editions of Harry Potter proves shes American?,2,128,2,0
JK Rowling,"RT @pottermore: ICYMI, J.K. Rowling gave us a first glimpse at @HPPlayLDN, including Harry's glasses!  ",3,103,2,0
JK Rowling,"RT @Katy_Sartain: At 23, JK Rowling was broke. Tina Fey was working at the YMCA. Oprah had just gotten fired from her first job as a TV rep",5,139,2,1
JK Rowling,Wish my school included some of the subjects taught at hogwarts. (So need them there!) @jk_rowling,0,99,1,0
JK Rowling,"""...Anything's possible if you've got enough nerve,"" said Ginny in 'Harry Potter &amp; the Order of the Phoenix', chapter 29, by @jk_rowling. ",1,142,2,0
JK Rowling,RT @anaellegdfr: @jk_rowling it's @MorganeG_Horan 19th birthday tomorrow. Do you want to tell her something in order to celebrate?,0,130,2,0
JK Rowling,@jk_rowling Thank you for your #Passover greeting! Chag sameach! I wonder if Honeydukes has a good candy recipe for the holiday...,1,130,2,0
JK Rowling,@jk_rowling whats the deal with Emma??,1,38,2,1
JK Rowling,RT @pottermore: Ready for J.K. Rowling to take you inside the @HPPlayLDN rehearsal room for the first time?,2,109,2,0
JK Rowling,"Tonzey posted this: JK Rowling Shared A Behind-The-Scenes Look At The Harry Potter Play: Sorry, magic-obsess... ",1,112,2,1
JK Rowling,@jk_rowling since I'm an atheist I don't celebrate it but I live in Israel so omg yay I'm so excited u wrote about passover,0,123,2,0
JK Rowling,"@jk_rowling Hey Jo, just checking in to say that I have fashioned a wand using carved oak from a branch nearby + a cat hair core (my cat).",0,138,1,0
JK Rowling,I got: Ravenclaw! What Hogwarts House Would You Be Sorted Into?  via @play_buzz ravenclaw and proud  @jk_rowling,0,112,2,0
JK Rowling,"RT @hellerNYT: Firm but gentle warning from @jk_rowling at @HPPlayLDN rehearsal: ""I would like us, if we can...to keep our secrets"" ",0,132,1,1
JK Rowling,My highlight of the week is to start reading Harry Potter and the Chamber of secrets. @jk_rowling -- Joshua,3,107,1,0
JK Rowling,RT @akjdub10: It's a testament to @jk_rowling 's writing that to this day no one on this earth angers me (enrages me) to the extent of Dolo,1,139,2,1
JK Rowling,Feeling very sad today and am 100% sure only a tweet from @jk_rowling could turn my day around.,0,95,1,0
JK Rowling,@jk_rowling very classy. Nice one.,0,34,1,0
JK Rowling,I hope its 'All is well' in cursed child @jk_rowling,0,52,2,1
JK Rowling,@jk_rowling @rachel_rt4739 omg I'm dead,0,39,1,1
JK Rowling,@HPPlayLDN @jk_rowling omg I can't wait,0,39,1,0
JK Rowling,@jk_rowling THANK YOU SO MUCH!,0,30,1,0
JK Rowling,@jk_rowling @JunePadfoot I love Harry's it looks like a leaf,1,60,1,0
JK Rowling,@jk_rowling there is some chance of you reply me?,0,49,1,1
JK Rowling,@jk_rowling Love you mom,0,24,1,0
JK Rowling,@quoting_harry @jk_rowling That's so cool!,0,42,1,0
JK Rowling,@jk_rowling hi i love you,0,25,1,0
JK Rowling,@jk_rowling My daughter is super excited that the Passover Bunny is finally coming with her basket!,0,99,2,0
JK Rowling,@triwzard @jk_rowling happy holiday,0,35,2,0
JK Rowling,@jk_rowling YOU COULD TALK ME YOUR FAVORITE ICE CREAM PLEASE????,0,64,2,1
JK Rowling,@gbeeston30 @jk_rowling hahahaha brilliant. Lord of the rings is so working class,0,81,1,0
JK Rowling,@jimmieg7 @jk_rowling I'm missing something James...,1,52,1,1
JK Rowling,RT @HimeshJPatel: I'm writing an essay for this book. JK Rowling just donated to the crowdfunding campaign. Maybe you'd also like to.,1,134,2,0
JK Rowling,@jk_rowling It's my birthday on next Wednesday. It would be a magical day if you wish me happy birthday earlier.,0,112,1,0
JK Rowling,"@jk_rowling Jo, we can't speak Hebrew. It's a nice language, I like the first sentence of the Bible in Hebrew.",0,110,2,0
JK Rowling,@ardit_haliti @jk_rowling I googled it. Its a Jewish festival or so it said,0,75,2,0
JK Rowling,pictures of mountains isnt gonna want jk rowling to visit our country u nut,0,76,1,1
JK Rowling,RT @broadwaycom: Video! @jk_rowling takes us into the @HPPlayLDN rehearsal rooms:,0,83,2,0
JK Rowling,"@jk_rowling Hello, Jo :) Hope all is doing well for you. I've recently found HP1 illustrated for only 12 &amp; I'm so happy. Thank you !",1,136,1,0
JK Rowling,"Now daydreaming about Tina bringing Newt to their seder. (""Don't feed the maror to the snorkack!!!"") @jk_rowling @FantasticBeasts #passover",2,139,2,0
JK Rowling,RT @gracemierl: Feeling thankful for JK Rowling today as this quote hits closer to recent tragedies at home. Stay strong everyone,0,130,1,0
JK Rowling,@jk_rowling MY QUEEN,0,20,1,0
JK Rowling,@jk_rowling  I'm still dreaming of a Albus/Grindulwald love story. (Did I spell that right),0,91,1,0
JK Rowling,RT @LordeVoIdemort: @jk_rowling hi mom,0,38,1,0
JK Rowling,@jk_rowling What is a Chag sameach? #ConfusedButCurious,0,55,2,1
JK Rowling,@jk_rowling i love you,0,22,1,0
JK Rowling,@jk_rowling Thanks for sharing the rehearsals for The Cursed Child. I'm seeing it in November; that and Fantastic Beasts!,0,122,1,0
JK Rowling,@powelly1874 @jk_rowling working class man or should i say I'm a Lord of the rings man,0,86,2,0
JK Rowling,"@jk_rowling i need the assurance from you that ""all is well"" after the cursed child.",0,84,1,1
JK Rowling,@nytimes @jk_rowling Obama doesn't care about UK he cares about TTIP #VoteLeave #MindYourOwnBeeswaxObama #brexit,1,112,2,1
JK Rowling,@jk_rowling PLEASE. JUST SAY HELLO.,0,35,1,0
JK Rowling,@jk_rowling hi Jo! There is some chance of the cursed child come to Brazil?,1,75,2,0
JK Rowling,"can someone explain why that when Harry got bit by the basilisk in C.O.S., the horcrux that was inside of him wasn't destroyed @jk_rowling",1,138,2,1
JK Rowling,@jk_rowling thanks,0,19,1,0
JK Rowling,"@jk_rowling hey jo, today it's my birthday, can you say hi for me? I will be very happy!",0,88,1,0
JK Rowling,"@jk_rowling hey, Brazil loves you",0,33,1,0
JK Rowling,@jk_rowling had you ever feel that with your Harry Pottee saga? With the idea of a future book?,0,95,2,0
JK Rowling,RT @sims: @JK_Rowling new permanent profile pic for you right here,0,67,2,0
JK Rowling,"@jk_rowling any news on Hogwarts, a History? sincerely, potterheads everywhere",0,79,1,0
JK Rowling,"@jk_rowling I don't know speak english, so... love u :)",0,55,1,0
